GEO_ID,NAME,estimate_2020,estimate_2021,estimate_2022,chg_20_21,chg_21_22,chg_20_22,pct_chg_20_21,pct_chg_21_22,pct_chg_20_22,county
1400000US06001425102,"Census Tract 4251.02, Alameda County, California",3752,4073,3969,321,-104,217,8.56,-2.55,5.78,Alameda County
1400000US06001425103,"Census Tract 4251.03, Alameda County, California",2708,3024,3103,316,79,395,11.67,2.61,14.59,Alameda County
1400000US06001425104,"Census Tract 4251.04, Alameda County, California",3631,3918,4014,287,96,383,7.9,2.45,10.55,Alameda County
1400000US06001426100,"Census Tract 4261, Alameda County, California",6704,6497,6300,-207,-197,-404,-3.09,-3.03,-6.03,Alameda County
1400000US06001426200,"Census Tract 4262, Alameda County, California",4750,4871,4861,121,-10,111,2.55,-0.21,2.34,Alameda County
1400000US06001427100,"Census Tract 4271, Alameda County, California",4251,4389,4222,138,-167,-29,3.25,-3.8,-0.68,Alameda County
1400000US06001427200,"Census Tract 4272, Alameda County, California",4460,4418,4508,-42,90,48,-0.94,2.04,1.08,Alameda County
1400000US06001427300,"Census Tract 4273, Alameda County, California",5130,5036,5283,-94,247,153,-1.83,4.9,2.98,Alameda County
1400000US06001427600,"Census Tract 4276, Alameda County, California",5157,4861,4740,-296,-121,-417,-5.74,-2.49,-8.09,Alameda County
1400000US06001427700,"Census Tract 4277, Alameda County, California",5268,5139,5009,-129,-130,-259,-2.45,-2.53,-4.92,Alameda County
1400000US06001427800,"Census Tract 4278, Alameda County, California",4502,4268,4274,-234,6,-228,-5.2,0.14,-5.06,Alameda County
1400000US06001427900,"Census Tract 4279, Alameda County, California",5297,4893,4686,-404,-207,-611,-7.63,-4.23,-11.53,Alameda County
1400000US06001428000,"Census Tract 4280, Alameda County, California",3168,2975,2906,-193,-69,-262,-6.09,-2.32,-8.27,Alameda County
1400000US06001428100,"Census Tract 4281, Alameda County, California",4841,4812,4866,-29,54,25,-0.6,1.12,0.52,Alameda County
1400000US06001428200,"Census Tract 4282, Alameda County, California",6782,6947,6475,165,-472,-307,2.43,-6.79,-4.53,Alameda County
1400000US06001428301,"Census Tract 4283.01, Alameda County, California",7538,7384,7203,-154,-181,-335,-2.04,-2.45,-4.44,Alameda County
1400000US06001428302,"Census Tract 4283.02, Alameda County, California",7802,7348,7022,-454,-326,-780,-5.82,-4.44,-10,Alameda County
1400000US06001428400,"Census Tract 4284, Alameda County, California",4561,4593,4756,32,163,195,0.7,3.55,4.28,Alameda County
1400000US06001428500,"Census Tract 4285, Alameda County, California",3063,3154,3302,91,148,239,2.97,4.69,7.8,Alameda County
1400000US06001428600,"Census Tract 4286, Alameda County, California",3560,3475,3235,-85,-240,-325,-2.39,-6.91,-9.13,Alameda County
1400000US06001428700,"Census Tract 4287, Alameda County, California",4447,4628,5078,181,450,631,4.07,9.72,14.19,Alameda County
1400000US06001430101,"Census Tract 4301.01, Alameda County, California",6743,6951,7034,208,83,291,3.08,1.19,4.32,Alameda County
1400000US06001430102,"Census Tract 4301.02, Alameda County, California",2488,2539,2459,51,-80,-29,2.05,-3.15,-1.17,Alameda County
